movieId,title,generes,type,production
196,Lobster,dark comedy | drama | romance | sci-fi | thrilller,movie,us
197,Kawa i Papierosy,comedy | drama,movie,us
198,Fargo,dark comedy | crime | drama | thriller,movie,us
199,Sicario,action | crime | drama | mistery | thriller,movie,us
200,Birdman,dark comedy | drama,movie,us
201,Lewiatan,dark comedy | crime | drama,movie,ru
202,Paprika,animation | drama | thriller | psychological,movie,jp
203,Martwe zło,dark comedy | horror,movie,us
204,Przełęcz ocalonych,biography | drama | history,movie,us
205,Gra o Tron,action | adventrue | psychological,series,us
206,Suits,comedy | drama,series,us
207,Nietykalni,comedy | drama,movie,fr
208,Bad boy,drama,series,is
209,Kac Wawa,comedy,movie,pl
210,Shrek,animation | dark comedy,movie,us
211,Kac Vegas,comedy,movie,us
212,Straszny film,dark comedy | parody,movie,us
213,Dr. House,dark comedy | drama,series,us
214,Batman,superhero | action | crime,movie,us
215,Breaking Bad,dark comedy | drama | thriller | psychological,series,us
216,Farciarz Gilmore,comedy | sport,movie,us
217,Super tata,comedy | drama,movie,us
218,Ted,comedy,movie,us
219,Żona na niby,comedy | romance,movie,us
220,Marley i ja,drama | family,movie,us
221,Bruce Wszechmogący,comedy | fantasy,movie,us
222,Millerowie,dark comedy | crime,movie,us
223,Furia,action | drama,movie,us
224,Star Wars,action | fantasy | sci-fi,movie,us
225,Spider man,superhero | action | adventure | sci-fi,movie,us
226,Pszczelarz,action | crime | thriller,movie,us
227,Ruchomy chaos,action | adventure | drama | fantasy | sci-fi,movie,us
228,Na noże,comedy | crime | drama | mystery | thriller,movie,us
229,Skrytka,crime | drama | mystery | thriller,movie,us
231,Glass,drama | thriller | sci-fi | pschological,movie,us
232,Odkrycie,drama | romance | sci-fi | psychological,movie,us
233,Zostaw świat za sobą,drama | mystery | thriller,movie,us
234,Old,drama | mystery | thriller | psychological,movie,us
235,Cloverfield Lane 10,drama | horror | sci-fi | pschological,movie,us
236,Recepta na przekręt,crime | drama,movie,us
237,Bielmo,crime | mystery | thriller,movie,us
238,Synchronic,drama | mystery | thriller | psychological,movie,us
239,Paradise,action | sci-fi | thriller | cyber,movie,de
240,Circle,drama | mystery | sci-fi | thriller | cyber,movie,us
241,Nie patrz w górę,dark comedy | drama | sci-fi,movie,us
242,John Wick 4,action | crime | thriller,movie,us
243,Platforma,mistery | sci-fi | thriller,movie,sp
244,Linia życia,drama | mystery | sci-fi | thriller | psychological,movie,us
245,Pierwszy śnieg,crime | mystery | thriller | psychological,movie,us
247,Game Over Man,dark comedy | parody | action,movie,us
248,Tenet,action | sci-fi | thriller,movie,us
249,Zenek,biography,movie,pl
250,Gold,crime | drama | history,movie,uk
251,Player One,adventure | action | sci-fi,movie,us
252,Kler,drama,movie,pl
253,Irlandczyk,biography | crime | drama | history | thriller,move,us
254,Snowden,biography | crime | drama | thriller,movie,us
255,Dawca pamięci,drama | romance | sci-fi | thriller,movie,ca
256,Mroczna wieża,action | adventure | drama | fantasy | sci-fi,movie,us
257,Pasażerowie,drama | romance | sci-fi | thriller,movie,us
258,McImperium,biography | drama,movie,us
259,Gwiezdne wojny: część III – Zemsta Sithów,fantasy | sci-fi,movie,us
260,Straight Outta Compton,biography | drama | history,movie,us
261,Nosferatu,fantasy | horror | mystery,movie,us
262,The Witcher,action | adventure | drama,movie,pl
263,Wikingowie,action | adventure | drama | history | romance,series,ir
264,Avengers,superhero | action | sci-fi,movie,us
265,Superbarbies,comedy | family | sci-fi,movie,de
266,Manos,parody | comedy | horror,movie,us
267,Cats,comedy | drama | family | fantasy | musical,movie,uk
268,No Orchids for Miss Blandish,crime | drama | thriller,movie,uk
269,Lupin,action | crime | drama | mistery,movie,fr
270,The Walking Dead,drama | horror | thriller | zombie,series,us
271,Powrót do przyszłości,adventure | comedy | sci-fi,movie,us
272,Nigdzie,drama | thriller,movie,sp
273,Siła ducha,biography | drama | family | sport,movie,au
274,Dublerzy,action | comedy,movie,pl
275,Jak rozpętałem drugą wojnę światową,adventure | comedy,movie,pl
276,Titanic,drama | romance,movie,us
277,Avatar,action | adventure | fantasy | sci-fi,movie,us
278,Szybcy i wściekli,action | crime | thriller,movie,us
279,Vinci,comedy | crime,movie,pl
280,Dlaczego nie,comedy | romance,movie,pl
282,Mad Max: na drodze gniewu,action | adventure,movie,us
283,Wesele,drama,movie,pl
284,Tomb Raider,action | adventure | fantasy,movie,us
285,Pearl Harbor,action | drama | romance,movie,us
286,Garfield,adventure | comedy | family | fantasy,movie,us
287,Gdzie jest Nemo?,animation | adventure | comedy | family,movie,us
288,"Gulczas, a jak myślisz?",comedy | crime,movie,pl
289,Kilerów dwóch,comedy | crime,movie,pl
290,Chłopaki nie płaczą,comedy | crime,movie,pl
